satellites,latitude,longitude,speed,altitude,date,time
5,10.702243,10.323751,4.630000,533.099975,2017/4/20,16:19:53
5,10.702243,10.323736,1.537160,537.599975,2017/4/20,16:19:54
5,10.702228,10.323690,3.315080,535.200012,2017/4/20,16:19:55
5,10.702243,10.323677,2.148320,537.400024,2017/4/20,16:19:100
5,10.702255,10.323667,0.629680,537.400024,2017/4/20,16:19:102

